accession	d	p	c	o	f	g	s	species
RS_GCF_900015215.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Romboutsia	s__Romboutsia ilealis	Romboutsia ilealis
GB_GCA_004554085.1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-74	g__SFTH01	s__SFTH01 sp004554085	SFTH01 sp004554085
GB_GCA_004557125.1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-74	g__SFTH01	s__SFTH01 sp004557125	SFTH01 sp004557125
GB_GCA_004563405.1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-74	g__SFTH01	s__SFTH01 sp004563405	SFTH01 sp004563405
GB_GCA_900553265.1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-74	g__UMGS1603	s__UMGS1603 sp900553265	UMGS1603 sp900553265
RS_GCF_900759005.1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-74	g__UMGS1603	s__UMGS1603 sp900759005	UMGS1603 sp900759005
GB_GCA_003510345.1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__Christensenellaceae	g__UBA5399	s__UBA5399 sp003510345	UBA5399 sp003510345
GB_GCA_012838175.1	d__Bacteria	p__Firmicutes_B	c__Dehalobacteriia	o__Dehalobacteriales	f__Dehalobacteriaceae	g__DUPU01	s__DUPU01 sp012838175	DUPU01 sp012838175
RS_GCF_002224645.1	d__Bacteria	p__Firmicutes_B	c__Dehalobacteriia	o__Dehalobacteriales	f__Dehalobacteriaceae	g__Dehalobacterium	s__Dehalobacterium formicoaceticum	Dehalobacterium formicoaceticum
RS_GCF_001029295.1	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__CEB3	s__CEB3 sp001029295	CEB3 sp001029295
RS_GCF_001029285.1	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__Desulfosporosinus acididurans	Desulfosporosinus acididurans
RS_GCF_000255115.2	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__Desulfosporosinus acidiphilus	Desulfosporosinus acidiphilus
RS_GCF_900100785.1	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__Desulfosporosinus hippei	Desulfosporosinus hippei
RS_GCF_000765145.1	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__Desulfosporosinus sp000765145	Desulfosporosinus sp000765145
RS_GCF_002196705.1	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__Desulfosporosinus sp002196705	Desulfosporosinus sp002196705
GB_GCA_003513495.1	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__Desulfosporosinus sp003513495	Desulfosporosinus sp003513495
GB_GCA_003604985.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Ammonifexales	f__Ammonificaceae	g__SURF-55	s__SURF-55 sp003604985	SURF-55 sp003604985
GB_GCA_012961725.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Ammonifexales	f__Ammonificaceae	g__SURF-55	s__SURF-55 sp012961725	SURF-55 sp012961725
RS_GCF_003815015.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Ammonifexales	f__Ammonificaceae	g__Thermodesulfitimonas	s__Thermodesulfitimonas autotrophica	Thermodesulfitimonas autotrophica
GB_GCA_003445475.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Ammonifexales	f__UBA12532	g__UBA12532	s__UBA12532 sp003445475	UBA12532 sp003445475
RS_GCF_002933875.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfocucumaceae	g__Desulfocucumis	s__Desulfocucumis palustris	Desulfocucumis palustris
RS_GCF_001592105.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfofarciminaceae	g__Desulfofarcimen_A	s__Desulfofarcimen_A intricatum	Desulfofarcimen_A intricatum
GB_GCA_000961575.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfotomaculaceae_A	g__BRH-c8a	s__BRH-c8a sp000961575	BRH-c8a sp000961575
GB_GCA_009781965.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfotomaculaceae_A	g__BRH-c8a	s__BRH-c8a sp009781965	BRH-c8a sp009781965
RS_GCF_000233715.2	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfotomaculaceae_A	g__Sporotomaculum	s__Sporotomaculum gibsoniae	Sporotomaculum gibsoniae
RS_GCF_008124625.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfotomaculaceae_A	g__Sporotomaculum	s__Sporotomaculum thermosapovorans	Sporotomaculum thermosapovorans
RS_GCF_900129285.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfovirgulaceae	g__Desulfofundulus	s__Desulfofundulus australicus	Desulfofundulus australicus
GB_GCA_000214705.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfovirgulaceae	g__Desulfofundulus	s__Desulfofundulus kuznetsovii	Desulfofundulus kuznetsovii
RS_GCF_003627965.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfovirgulaceae	g__Desulfofundulus	s__Desulfofundulus salinum	Desulfofundulus salinum
RS_GCF_900142025.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfovirgulaceae	g__Desulfofundulus	s__Desulfofundulus thermosubterraneus	Desulfofundulus thermosubterraneus
RS_GCF_009428905.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfovirgulaceae	g__Desulfofundulus_A	s__Desulfofundulus_A thermobenzoicus	Desulfofundulus_A thermobenzoicus
RS_GCF_001655685.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfovirgulaceae	g__Desulfotomaculum_G	s__Desulfotomaculum_G copahuensis	Desulfotomaculum_G copahuensis
RS_GCF_000376385.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfurisporaceae	g__Desulfurispora	s__Desulfurispora thermophila	Desulfurispora thermophila
GB_GCA_002418775.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Nap2-2B	g__46-80	s__46-80 sp002418775	46-80 sp002418775
GB_GCA_003485325.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Nap2-2B	g__46-80	s__46-80 sp003485325	46-80 sp003485325
GB_GCA_003513005.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Nap2-2B	g__46-80	s__46-80 sp003513005	46-80 sp003513005
GB_GCA_002382125.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Nap2-2B	g__UBA4053	s__UBA4053 sp002382125	UBA4053 sp002382125
GB_GCA_003457075.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Nap2-2B	g__UBA4053	s__UBA4053 sp003457075	UBA4053 sp003457075
GB_GCA_009711705.1	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__VENG01	g__VENG01	s__VENG01 sp009711705	VENG01 sp009711705
RS_GCF_000620305.1	d__Bacteria	p__Firmicutes_B	c__Moorellia	o__Desulfitibacterales	f__Desulfitibacteraceae	g__Desulfitibacter	s__Desulfitibacter alkalitolerans	Desulfitibacter alkalitolerans
GB_GCA_001515945.1	d__Bacteria	p__Firmicutes_B	c__Moorellia	o__Desulfitibacterales	f__Desulfitibacteraceae	g__Desulfitibacter	s__Desulfitibacter sp001515945	Desulfitibacter sp001515945
RS_GCF_002995755.1	d__Bacteria	p__Firmicutes_B	c__Moorellia	o__Moorellales	f__Moorellaceae	g__Moorella	s__Moorella humiferrea	Moorella humiferrea
RS_GCF_001594015.1	d__Bacteria	p__Firmicutes_B	c__Moorellia	o__Moorellales	f__Moorellaceae	g__Moorella	s__Moorella mulderi	Moorella mulderi
GB_GCA_002383405.1	d__Bacteria	p__Firmicutes_B	c__Moorellia	o__Moorellales	f__Moorellaceae	g__Moorella	s__Moorella sp002383405	Moorella sp002383405
GB_GCA_003509545.1	d__Bacteria	p__Firmicutes_B	c__Moorellia	o__Moorellales	f__Moorellaceae	g__UBA12545	s__UBA12545 sp003509545	UBA12545 sp003509545
GB_GCA_004347685.1	d__Bacteria	p__Firmicutes_B	c__Moorellia	o__Moorellales	f__SLTJ01	g__SLTJ01	s__SLTJ01 sp004347685	SLTJ01 sp004347685
GB_GCA_002352935.1	d__Bacteria	p__Firmicutes_B	c__Moorellia	o__UBA1874	f__UBA1874	g__UBA1874	s__UBA1874 sp002352935	UBA1874 sp002352935
GB_GCA_000802045.1	d__Bacteria	p__Firmicutes_B	c__Peptococcia	o__Peptococcales	f__BICA1-8	g__BICA1-8	s__BICA1-8 sp000802045	BICA1-8 sp000802045
GB_GCA_000961765.1	d__Bacteria	p__Firmicutes_B	c__Peptococcia	o__Peptococcales	f__BICA1-8	g__BICA1-8	s__BICA1-8 sp000961765	BICA1-8 sp000961765
GB_GCA_012842275.1	d__Bacteria	p__Firmicutes_B	c__Syntrophomonadia	o__Thermacetogeniales	f__Thermacetogeniaceae	g__DTU068	s__DTU068 sp012842275	DTU068 sp012842275
GB_GCA_012839645.1	d__Bacteria	p__Firmicutes_B	c__Syntrophomonadia	o__Thermacetogeniales	f__Thermacetogeniaceae	g__Syntrophaceticus	s__Syntrophaceticus sp012839645	Syntrophaceticus sp012839645
GB_GCA_002840165.1	d__Bacteria	p__Firmicutes_B	c__Thermincolia	o__Thermincolales	f__UBA2595	g__GW-Firmicutes-8	s__GW-Firmicutes-8 sp002840165	GW-Firmicutes-8 sp002840165
GB_GCA_002339745.1	d__Bacteria	p__Firmicutes_B	c__Thermincolia	o__Thermincolales	f__UBA2595	g__UBA2595	s__UBA2595 sp002339745	UBA2595 sp002339745
GB_GCA_002840275.1	d__Bacteria	p__Firmicutes_B	c__Thermincolia	o__Thermincolales	f__UBA2595	g__W-Firmicutes-14	s__W-Firmicutes-14 sp002840275	W-Firmicutes-14 sp002840275
GB_GCA_003563385.1	d__Bacteria	p__Firmicutes_D	c__Dethiobacteria	o__DTU022	f__UBA8154	g__CSSED11-109	s__CSSED11-109 sp003563385	CSSED11-109 sp003563385
GB_GCA_003556225.1	d__Bacteria	p__Firmicutes_D	c__Dethiobacteria	o__DTU022	f__UBA8154	g__SKMY01	s__SKMY01 sp003556225	SKMY01 sp003556225
GB_GCA_003561325.1	d__Bacteria	p__Firmicutes_D	c__Dethiobacteria	o__DTU022	f__UBA8154	g__SKMY01	s__SKMY01 sp003561325	SKMY01 sp003561325
GB_GCA_007126455.1	d__Bacteria	p__Firmicutes_D	c__Dethiobacteria	o__DTU022	f__UBA8154	g__SKMY01	s__SKMY01 sp007126455	SKMY01 sp007126455
GB_GCA_003530255.1	d__Bacteria	p__Firmicutes_E	c__DTU015	o__UBA9673	f__UBA9673	g__UBA9673	s__UBA9673 sp003530255	UBA9673 sp003530255
GB_GCA_003541445.1	d__Bacteria	p__Firmicutes_E	c__DTU015	o__UBA9673	f__UBA9673	g__UBA9673	s__UBA9673 sp003541445	UBA9673 sp003541445
GB_GCA_002375895.1	d__Bacteria	p__Firmicutes_E	c__UBA3569	o__UBA3569	f__UBA3569	g__UBA3569	s__UBA3569 sp002375895	UBA3569 sp002375895
GB_GCA_903932505.1	d__Bacteria	p__Hydrogenedentota	c__Hydrogenedentia	o__Hydrogenedentiales	f__CAIZGN01	g__CAIZGN01	s__CAIZGN01 sp903932505	CAIZGN01 sp903932505
GB_GCA_011772205.1	d__Bacteria	p__Krumholzibacteriota	c__Krumholzibacteria	o__WVZY01	f__WVZY01	g__WVZY01	s__WVZY01 sp011772205	WVZY01 sp011772205
GB_GCA_903893785.1	d__Bacteria	p__Latescibacterota	c__UBA2968	o__UBA8231	f__UBA8231	g__CAITNQ01	s__CAITNQ01 sp903893785	CAITNQ01 sp903893785
GB_GCA_002730315.1	d__Bacteria	p__Marinisomatota	c__Marinisomatia	o__Marinisomatales	f__TCS55	g__UBA2126	s__UBA2126 sp002730315	UBA2126 sp002730315
GB_GCA_003647095.1	d__Bacteria	p__Myxococcota	c__B64-G9	o__B64-G9	f__B64-G9	g__B64-G9	s__B64-G9 sp003647095	B64-G9 sp003647095
GB_GCA_013152945.1	d__Bacteria	p__Myxococcota	c__JAADFL01	o__JAADFL01	f__JAADFL01	g__JAADFL01	s__JAADFL01 sp013152945	JAADFL01 sp013152945
GB_GCA_002780895.1	d__Bacteria	p__Nitrospirota	c__Thermodesulfovibrionia	o__Thermodesulfovibrionales	f__SM23-35	g__0-14-3-00-41-53	s__0-14-3-00-41-53 sp002780895	0-14-3-00-41-53 sp002780895
GB_GCA_013388605.1	d__Bacteria	p__Nitrospirota	c__Thermodesulfovibrionia	o__Thermodesulfovibrionales	f__SM23-35	g__JACAEY01	s__JACAEY01 sp013388605	JACAEY01 sp013388605
GB_GCA_013388455.1	d__Bacteria	p__Nitrospirota	c__Thermodesulfovibrionia	o__Thermodesulfovibrionales	f__SM23-35	g__JACAFF01	s__JACAFF01 sp013388455	JACAFF01 sp013388455
GB_GCA_011338125.1	d__Bacteria	p__Nitrospirota	c__Thermodesulfovibrionia	o__Thermodesulfovibrionales	f__Thermodesulfovibrionaceae	g__Thermodesulfovibrio	s__Thermodesulfovibrio aggregans_B	Thermodesulfovibrio aggregans_B
GB_GCA_003535475.1	d__Bacteria	p__Nitrospirota	c__Thermodesulfovibrionia	o__Thermodesulfovibrionales	f__UBA1546	g__UBA1546	s__UBA1546 sp003535475	UBA1546 sp003535475
GB_GCA_002451165.1	d__Bacteria	p__Nitrospirota	c__Thermodesulfovibrionia	o__Thermodesulfovibrionales	f__UBA6898	g__UBA6898	s__UBA6898 sp002451165	UBA6898 sp002451165
GB_GCA_001805055.1	d__Bacteria	p__Nitrospirota	c__UBA9217	o__UBA9217	f__UBA9217	g__GWC2-57-13	s__GWC2-57-13 sp001805055	GWC2-57-13 sp001805055
GB_GCA_001805845.1	d__Bacteria	p__Omnitrophota	c__Koll11	o__GIF10	f__UBA12090	g__2-02-FULL-45-21	s__2-02-FULL-45-21 sp001805845	2-02-FULL-45-21 sp001805845
GB_GCA_001805765.1	d__Bacteria	p__Omnitrophota	c__Koll11	o__GIF10	f__UBA6249	g__2-01-FULL-41-12	s__2-01-FULL-41-12 sp001805765	2-01-FULL-41-12 sp001805765
GB_GCA_004298075.1	d__Bacteria	p__Omnitrophota	c__Koll11	o__GIF10	f__UBA6249	g__UBA6249	s__UBA6249 sp004298075	UBA6249 sp004298075
GB_GCA_903871935.1	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__UBA1161	f__UBA1161	g__CAIQIQ01	s__CAIQIQ01 sp903871935	CAIQIQ01 sp903871935
GB_GCA_003162245.1	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__UBA1845	f__Fen-1342	g__Fen-1342	s__Fen-1342 sp003162245	Fen-1342 sp003162245
GB_GCA_903914415.1	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__UBA1845	f__Fen-1342	g__Fen-1342	s__Fen-1342 sp903914415	Fen-1342 sp903914415
GB_GCA_011367845.1	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Thermoguttaceae	g__DSXL01	s__DSXL01 sp011367845	DSXL01 sp011367845
GB_GCA_013360685.1	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Thermoguttaceae	g__JABWBD01	s__JABWBD01 sp013360685	JABWBD01 sp013360685
GB_GCA_002687025.1	d__Bacteria	p__Poribacteria	c__WGA-4E	o__GCA-2687025	f__GCA-2687025	g__GCA-2687025	s__GCA-2687025 sp002687025	GCA-2687025 sp002687025
GB_GCA_011337885.1	d__Bacteria	p__RBG-13-61-14	c__RBG-13-61-14	o__RBG-13-61-14	f__DRUE01	g__DTOP01	s__DTOP01 sp011337885	DTOP01 sp011337885
GB_GCA_001797815.1	d__Bacteria	p__RBG-13-61-14	c__RBG-13-61-14	o__RBG-13-61-14	f__RBG-13-61-14	g__RBG-13-61-14	s__RBG-13-61-14 sp001797815	RBG-13-61-14 sp001797815
GB_GCA_011047235.1	d__Bacteria	p__SpSt-318	c__SpSt-318	o__SpSt-318	f__SpSt-318	g__SpSt-318	s__SpSt-318 sp011047235	SpSt-318 sp011047235
GB_GCA_001873945.1	d__Bacteria	p__UBA9089	c__CG2-30-40-21	o__CG2-30-40-21	f__CG2-30-40-21	g__CG2-30-40-21	s__CG2-30-40-21 sp001873945	CG2-30-40-21 sp001873945
GB_GCA_903925685.1	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellae	o__CAIKKV01	f__CAIYGI01	g__CAIYGI01	s__CAIYGI01 sp903925685	CAIYGI01 sp903925685
GB_GCA_903861045.1	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellae	o__RFP12	f__JAAYNR01	g__CAIWXQ01	s__CAIWXQ01 sp903861045	CAIWXQ01 sp903861045
GB_GCA_013151705.1	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__Victivallales	f__JAADHT01	g__JAADHT01	s__JAADHT01 sp013151705	JAADHT01 sp013151705
